Matchup,Open,Closing Range Start,Closing Range End,Movement,Date
Alen Amedovski,-190.0,-140.0,-120.0,-0.19,2019-09-28
Alen Amedovski,-175.0,-138.0,-110.0,-0.244,2021-07-10
Alen Amedovski,185.0,165.0,175.0,0.018,2022-05-21
Alen Amedovski,250.0,375.0,450.0,-0.127,2022-09-17
Alessandro Costa,250.0,333.0,400.0,0.236,2022-12-17
Alessandro Costa,-250.0,-330.0,-275.0,0.182,2023-06-17
Alessandro Costa,136.0,155.0,200.0,0.139,2023-11-12
Alessandro Costa,-130.0,-141.0,-125.0,-0.016,2024-05-04
Alessandro Costa,-390.0,-400.0,-340.0,0.018,2025-09-13
Alessandro Ricci,205.0,305.0,310.0,-0.063,2017-02-19
Alessio Di Chirico,130.0,155.0,175.0,-0.0409999999999999,2016-04-10
Alessio Di Chirico,-265.0,-335.0,-330.0,0.236,2016-08-27
Alessio Di Chirico,-155.0,-110.0,-110.0,0.138,2017-01-28
Alessio Di Chirico,-135.0,-160.0,-142.0,-0.047,2017-12-16
Alessio Di Chirico,160.0,115.0,117.0,-0.204,2018-07-06
Alessio Di Chirico,155.0,184.0,190.0,0.111,2019-06-22
Alessio Di Chirico,-230.0,130.0,145.0,-0.6579999999999999,2019-09-28
Alessio Di Chirico,120.0,-139.0,-130.0,0.188,2020-08-29
Alessio Di Chirico,235.0,220.0,240.0,-0.015,2021-01-16
Alessio Di Chirico,-155.0,-265.0,-230.0,-0.172,2021-08-28
Alessio Di Chirico,-150.0,-112.0,100.0,0.138,2022-09-03
Alessio Sakara,220.0,145.0,145.0,0.138,2007-09-08
Alessio Sakara,-155.0,-135.0,-135.0,0.055,2008-01-19
Alessio Sakara,135.0,145.0,145.0,0.0,2008-03-01
Alessio Sakara,-140.0,-120.0,-120.0,0.065,2008-09-17
Alessio Sakara,215.0,305.0,305.0,0.222,2009-08-08
Alessio Sakara,120.0,-120.0,-120.0,0.1669999999999999,2010-03-21
Alessio Sakara,-240.0,190.0,190.0,-0.952,2011-03-03
Alessio Sakara,300.0,340.0,340.0,0.005,2012-04-14
Alessio Sakara,220.0,190.0,205.0,-0.074,2012-11-17
Alessio Sakara,-220.0,-185.0,-175.0,0.065,2013-10-26
Alex Caceres,195.0,190.0,190.0,0.057,2011-03-26
Alex Caceres,255.0,375.0,375.0,0.253,2011-08-14
Alex Caceres,200.0,248.0,248.0,-0.01,2011-11-12
Alex Caceres,110.0,115.0,115.0,0.023,2012-02-04
Alex Caceres,125.0,-120.0,-102.0,-0.184,2012-07-11
Alex Caceres,-140.0,-220.0,-220.0,0.322,2012-11-10
Alex Caceres,115.0,-115.0,110.0,-0.091,2013-03-02
Alex Caceres,-120.0,-150.0,-140.0,0.185,2013-09-21
Alex Caceres,175.0,165.0,177.0,0.063,2014-01-25
Alex Caceres,450.0,450.0,570.0,0.017,2014-07-05
Alex Caceres,-245.0,-300.0,-295.0,0.2319999999999999,2014-09-20
Alex Caceres,100.0,115.0,125.0,0.015,2015-06-06
Alex Caceres,-350.0,-290.0,-280.0,-0.02,2016-01-30
Alex Caceres,110.0,145.0,145.0,-0.045,2016-06-04
Alex Caceres,250.0,270.0,275.0,0.062,2016-08-06
Alex Caceres,115.0,114.0,115.0,0.0,2017-01-28
Alex Caceres,-275.0,-320.0,-310.0,0.181,2017-06-17
Alex Caceres,-195.0,-140.0,-130.0,-0.186,2017-11-25
Alex Caceres,-135.0,-132.0,-130.0,0.075,2018-07-06
Alex Caceres,205.0,240.0,248.0,0.113,2019-02-17
Alex Caceres,-130.0,-125.0,-115.0,0.031,2019-07-20
Alex Caceres,-120.0,180.0,183.0,-0.309,2020-06-06
Alex Caceres,-195.0,-200.0,-185.0,-0.019,2020-08-29
Alex Caceres,-300.0,-188.0,-147.0,-0.4579999999999999,2021-02-27
Alex Caceres,155.0,195.0,230.0,0.19,2021-10-23
Alex Caceres,190.0,195.0,240.0,-0.06,2022-03-12
Alex Caceres,130.0,140.0,155.0,-0.0579999999999999,2022-12-17
Alex Caceres,-170.0,-170.0,-170.0,,2023-03-25
Alex Caceres,-190.0,-220.0,-170.0,-0.027,2023-06-03
Alex Caceres,150.0,188.0,220.0,-0.111,2023-08-26
Alex Caceres,150.0,175.0,225.0,-0.12,2024-05-11
Alex Chambers,205.0,195.0,200.0,0.065,2014-12-12
Alex Chambers,160.0,205.0,210.0,-0.048,2015-05-09
Alex Chambers,600.0,900.0,1000.0,-0.018,2015-09-05
Alex Chambers,125.0,170.0,176.0,-0.076,2017-11-18
Alex Chambers,350.0,1000.0,1000.0,0.591,2018-09-22
Alex Garcia,-380.0,-725.0,-660.0,0.431,2013-12-06
Alex Garcia,-315.0,-365.0,-320.0,0.152,2014-03-15
Alex Garcia,-245.0,-145.0,-145.0,-0.196,2014-08-23
Alex Garcia,-260.0,-500.0,-470.0,0.417,2015-07-11
Alex Garcia,-110.0,-110.0,-105.0,0.061,2016-02-21
Alex Garcia,-180.0,-220.0,-194.0,0.127,2016-12-30
Alex Garcia,180.0,235.0,255.0,-0.032,2017-06-25
Alex Garcia,140.0,180.0,200.0,-0.081,2017-11-25
Alex Garcia,155.0,130.0,130.0,0.092,2018-04-21
Alex Garcia,-175.0,-250.0,-240.0,0.2239999999999999,2018-10-27
Alex Gorgees,285.0,400.0,425.0,-0.0559999999999999,2018-12-01
Alex Hernandez,120.0,140.0,150.0,-0.0819999999999999,2020-05-13
Alex Hernandez,-300.0,-900.0,-590.0,0.385,2021-10-02
Alex Hernandez,155.0,125.0,150.0,0.04,2022-02-12
Alex Hernandez,-250.0,-235.0,-200.0,-0.107,2023-02-18
Alex Morono,190.0,310.0,310.0,0.293,2016-01-02
Alex Morono,110.0,115.0,115.0,0.043,2016-12-17
Alex Morono,110.0,-110.0,-105.0,0.1159999999999999,2017-02-04
Alex Morono,-150.0,-110.0,-104.0,-0.114,2017-09-22
Alex Morono,-215.0,-370.0,-360.0,0.293,2018-02-18
Alex Morono,-110.0,128.0,130.0,-0.059,2018-07-28
Alex Morono,145.0,100.0,125.0,-0.14,2018-11-24
Alex Morono,-190.0,-189.0,-175.0,0.031,2019-03-09
Alex Morono,-130.0,110.0,125.0,-0.107,2019-10-12
Alex Morono,-195.0,-420.0,-400.0,-0.216,2020-02-08
Alex Morono,-300.0,-205.0,-175.0,-0.321,2020-11-14
Alex Morono,270.0,170.0,187.0,0.115,2020-12-19
Alex Morono,130.0,125.0,150.0,-0.033,2021-05-08
Alex Morono,-205.0,-139.0,-122.0,-0.293,2021-09-04
Alex Morono,-270.0,-270.0,-230.0,-0.093,2021-12-04
Alex Morono,-110.0,130.0,165.0,-0.225,2022-07-30
Alex Morono,220.0,122.0,150.0,-0.368,2022-12-10
Alex Morono,-325.0,-230.0,-200.0,-0.3389999999999999,2023-05-13
Alex Morono,130.0,140.0,165.0,-0.008,2023-10-08
Alex Morono,-350.0,-370.0,-290.0,0.084,2024-04-06
Alex Morono,-278.0,-300.0,-275.0,0.006,2024-06-02
Alex Morono,150.0,170.0,200.0,-0.0559999999999999,2024-10-12
Alex Morono,430.0,500.0,550.0,0.147,2025-03-09
Alex Munoz,175.0,200.0,230.0,-0.076,2020-08-08
Alex Munoz,150.0,120.0,146.0,0.033,2021-04-17
